TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
LES HERBES FOLLES,ALAIN RESNAIS,DU GENERAL EISENHOVER,75008,AVENUE DU GENERAL EISENHOVER 75008 Paris France,
LES HERBES FOLLES,ALAIN RESNAIS,FRANKLIN ROOSEVELT,75008,AVENUE FRANKLIN ROOSEVELT 75008 Paris France,"48.869169, 2.310126"
LES HERBES FOLLES,ALAIN RESNAIS,CLEMENCEAU,75008,PLACE CLEMENCEAU 75008 Paris France,"48.86736, 2.314549"
LE PETIT NICOLAS,LAURENT TIRARD,DE LA BONNE,75018,RUE DE LA BONNE 75018 Paris France,"48.888059, 2.343471"
LE PETIT NICOLAS,LAURENT TIRARD,DE L'AQUEDUC,75010,RUE DE L'AQUEDUC 75010 Paris France,"48.881913, 2.362867"
VICTOR,THOMAS GILOU,DE LA TOURNELLE,75005,PORT DE LA TOURNELLE 75005 Paris France,"48.849811, 2.356086"
VICTOR,THOMAS GILOU,DES ABBESSES,75018,PLACE DES ABBESSES 75018 Paris France,"48.884306, 2.338703"
LONDON DREAMS,VIPUL SHA,ALBERT 1ER DE MONACO,75016,AVENUE ALBERT 1ER DE MONACO 75016 Paris France,"48.861649, 2.289984"
LONDON DREAMS,VIPUL SHA,WRESINKI,75016,ESPLANADE WRESINKI 75016 Paris France,
LONDON DREAMS,VIPUL SHA,DE NOTRE DAME,75004,PARVIS DE NOTRE DAME 75004 Paris France,
LONDON DREAMS,VIPUL SHA,HUSSEIN 1ER DE JORDANIE,75016,AVENUE HUSSEIN 1ER DE JORDANIE 75016 Paris France,"48.861649, 2.289984"
LONDON DREAMS,VIPUL SHA,GUSTAVE V DE SUEDE,75016,AVENUE GUSTAVE V DE SUEDE 75016 Paris France,"48.861649, 2.289984"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,BASSES DU QUAI DES GRANDS AUGUSTINS,75006,BERGES BASSES DU QUAI DES GRANDS AUGUSTINS 75006 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,GEORGES PEREC,75020,RUE GEORGES PEREC 75020 Paris France,
ERREUR DE LA BANQUE EN VOTRE FAVEUR,MICHEL MUNZ,MAC MAHON,75017,AVENUE MAC MAHON 75017 Paris France,"48.876498, 2.294553"
LE PETIT NICOLAS,LAURENT TIRARD,IRENEE BLANC,75020,RUE IRENEE BLANC 75020 Paris France,"48.866141, 2.40806"
ERREUR DE LA BANQUE EN VOTRE FAVEUR,MICHEL MUNZ,DE COURCELLES,75017,AVENUE DE COURCELLES 75017 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,JULES SIEGFRIED,75020,RUE JULES SIEGFRIED 75020 Paris France,
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,DU CLOITRE NOTRE DAME,75004,RUE DU CLOITRE NOTRE DAME 75004 Paris France,"48.853138, 2.350577"
LE PETIT NICOLAS,LAURENT TIRARD,JULES SIEGFRIED,75020,RUE JULES SIEGFRIED 75020 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,GEORGES PEREC,75020,RUE GEORGES PEREC 75020 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,IRENEE BLANC,75020,RUE IRENEE BLANC 75020 Paris France,"48.866141, 2.40806"
LONDON DREAMS,VIPUL SHA,SOLFERINO,75007,PASSERELLE SOLFERINO 75007 Paris France,
LONDON DREAMS,VIPUL SHA,DE LA CONCORDE,75008,PONT DE LA CONCORDE 75008 Paris France,"48.86366, 2.319788"
LONDON DREAMS,VIPUL SHA,D'ORSAY,75007,QUAI D'ORSAY 75007 Paris France,"48.862618, 2.310791"
LONDON DREAMS,VIPUL SHA,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,"48.865519, 2.321454"
LE PETIT NICOLAS,LAURENT TIRARD,JULES SIEGFRIED,75020,RUE JULES SIEGFRIED 75020 Paris France,
JE VAIS TE MANQUER,AMANDA STHERS,DE CLIGNANCOURT,75018,SQUARE DE CLIGNANCOURT 75018 Paris France,"48.89306, 2.346369"
LE PETIT NICOLAS,LAURENT TIRARD,IRENEE BLANC,75020,RUE IRENEE BLANC 75020 Paris France,"48.866141, 2.40806"
LE PETIT NICOLAS,LAURENT TIRARD,GEORGE PEREC,75020,RUE GEORGE PEREC 75020 Paris France,
